EA_CY_Le_01,Cyrene,Singapore,Enhalus acoroides,Leaf,1.258905,103.754918,AFI1529,MUX8046
EA_CY_Le_02,Cyrene,Singapore,Enhalus acoroides,Leaf,1.258905,103.754918,AFI1530,MUX8046
EA_CY_Le_03,Cyrene,Singapore,Enhalus acoroides,Leaf,1.258905,103.754918,AFI1531,MUX8046
EA_CY_Le_04,Cyrene,Singapore,Enhalus acoroides,Leaf,1.258905,103.754918,AFI1532,MUX8046
EA_CY_Le_05,Cyrene,Singapore,Enhalus acoroides,Leaf,1.258905,103.754918,AFI1533,MUX8046
EA_CY_Le_06,Cyrene,Singapore,Enhalus acoroides,Leaf,1.258905,103.754918,AFI1534,MUX8046
EA_CY_Le_07,Cyrene,Singapore,Enhalus acoroides,Leaf,1.258905,103.754918,AFI1535,MUX8046
EA_CY_Le_08,Cyrene,Singapore,Enhalus acoroides,Leaf,1.258905,103.754918,AFI1536,MUX8046
EA_CY_Le_09,Cyrene,Singapore,Enhalus acoroides,Leaf,1.258905,103.754918,AFI1537,MUX8046
EA_CY_Le_10,Cyrene,Singapore,Enhalus acoroides,Leaf,1.258905,103.754918,AFI1538,MUX8046
EA_CY_Rh_01,Cyrene,Singapore,Enhalus acoroides,Rhizome,1.258905,103.754918,AFI1539,MUX8046
EA_CY_Rh_02,Cyrene,Singapore,Enhalus acoroides,Rhizome,1.258905,103.754918,AFI1540,MUX8046
EA_CY_Rh_03,Cyrene,Singapore,Enhalus acoroides,Rhizome,1.258905,103.754918,AFI1541,MUX8046
EA_CY_Rh_04,Cyrene,Singapore,Enhalus acoroides,Rhizome,1.258905,103.754918,AFI1542,MUX8046
EA_CY_Rh_05,Cyrene,Singapore,Enhalus acoroides,Rhizome,1.258905,103.754918,AFI1543,MUX8046
EA_CY_Rh_06,Cyrene,Singapore,Enhalus acoroides,Rhizome,1.258905,103.754918,AFI1544,MUX8046
EA_CY_Rh_07,Cyrene,Singapore,Enhalus acoroides,Rhizome,1.258905,103.754918,AFI1545,MUX8046
EA_CY_Rh_08,Cyrene,Singapore,Enhalus acoroides,Rhizome,1.258905,103.754918,AFI1546,MUX8046
EA_CY_Rh_09,Cyrene,Singapore,Enhalus acoroides,Rhizome,1.258905,103.754918,AFI1547,MUX8046
EA_CY_Rh_10,Cyrene,Singapore,Enhalus acoroides,Rhizome,1.258905,103.754918,AFI1548,MUX8046
EA_CY_Ro_01,Cyrene,Singapore,Enhalus acoroides,Root,1.258905,103.754918,AFI1549,MUX8046
EA_CY_Ro_02,Cyrene,Singapore,Enhalus acoroides,Root,1.258905,103.754918,AFI1550,MUX8046
EA_CY_Ro_03,Cyrene,Singapore,Enhalus acoroides,Root,1.258905,103.754918,AFI1551,MUX8046
EA_CY_Ro_04,Cyrene,Singapore,Enhalus acoroides,Root,1.258905,103.754918,AFI1552,MUX8046
EA_CY_Ro_05,Cyrene,Singapore,Enhalus acoroides,Root,1.258905,103.754918,AFI1554,MUX8046
EA_CY_Ro_06,Cyrene,Singapore,Enhalus acoroides,Root,1.258905,103.754918,AFI1555,MUX8046
EA_CY_Ro_07,Cyrene,Singapore,Enhalus acoroides,Root,1.258905,103.754918,AFI1556,MUX8046
EA_CY_Ro_08,Cyrene,Singapore,Enhalus acoroides,Root,1.258905,103.754918,AFI1557,MUX8046
EA_CY_Ro_09,Cyrene,Singapore,Enhalus acoroides,Root,1.258905,103.754918,AFI1558,MUX8046
EA_CY_Ro_10,Cyrene,Singapore,Enhalus acoroides,Root,1.258905,103.754918,AFI1559,MUX8046
EA_CY_Soil_01,Cyrene,Singapore,Enhalus acoroides,Soil,1.258905,103.754918,AFI1560,MUX8046
EA_CY_Soil_02,Cyrene,Singapore,Enhalus acoroides,Soil,1.258905,103.754918,AFI1561,MUX8046
EA_CY_Soil_03,Cyrene,Singapore,Enhalus acoroides,Soil,1.258905,103.754918,AFI1562,MUX8046
EA_CY_Soil_04,Cyrene,Singapore,Enhalus acoroides,Soil,1.258905,103.754918,AFI1563,MUX8046
EA_CY_Soil_05,Cyrene,Singapore,Enhalus acoroides,Soil,1.258905,103.754918,AFI1564,MUX8046
EA_CY_Soil_06,Cyrene,Singapore,Enhalus acoroides,Soil,1.258905,103.754918,AFI1565,MUX8046
EA_CY_Soil_07,Cyrene,Singapore,Enhalus acoroides,Soil,1.258905,103.754918,AFI1566,MUX8046
EA_CY_Soil_08,Cyrene,Singapore,Enhalus acoroides,Soil,1.258905,103.754918,AFI1567,MUX8046
EA_CY_Soil_09,Cyrene,Singapore,Enhalus acoroides,Soil,1.258905,103.754918,AFI1568,MUX8046
EA_CY_Soil_10,Cyrene,Singapore,Enhalus acoroides,Soil,1.258905,103.754918,AFI1569,MUX8046
EA_Sent_Le_01,Sentosa,Singapore,Enhalus acoroides,Leaf,1.258297,103.807229,AFI1570,MUX8046
EA_Sent_Le_02,Sentosa,Singapore,Enhalus acoroides,Leaf,1.258297,103.807229,AFI1571,MUX8046
EA_Sent_Le_03,Sentosa,Singapore,Enhalus acoroides,Leaf,1.258297,103.807229,AFI1572,MUX8046
EA_Sent_Le_04,Sentosa,Singapore,Enhalus acoroides,Leaf,1.258297,103.807229,AFI1573,MUX8046
EA_Sent_Le_05,Sentosa,Singapore,Enhalus acoroides,Leaf,1.258297,103.807229,AFI1574,MUX8046
